28603 0 626178	Visualizing web site comparisons.
3028 1 19428	David R. Strip
33744 3 6408	records
30285 3 1519	restriction
29834 3 1034	laws
14106 1 438191	James L. Finnerty
23383 0 500570	Finding Interesting Pass Patterns from Soccer Game Records.
34793 3 8115	kinematic
33104 3 5159	shift
3680 1 20761	K. Sel?uk Candan
25094 0 551913	Deriving Concept Hierarchies from Text.
14748 0 8523	On the Difficulty of Achieving Equilibrium in Interactive POMDPs.
1576 1 16359	Aron Culotta
2328 1 17840	Jeremy Kubica
2755 1 18838	David J. Kriegman
30821 3 2155	scope
13361 1 421204	Mark Digiovanni
28978 3 114	analysis
30814 3 2147	uses
1565 1 16343	David W. Etherington
894 1 14481	Maarten Marx
16910 0 117606	Shape Reconstruction in Projective Grid Space from Large Number of Images.
27438 0 596000	A Transactional Model for Long-Running Activities.
33161 3 5266	sar
5741 1 53368	M. R. Brown
25896 0 554477	The Prototype of the DARE System.
22454 0 436601	Empirical comparisons of various voting methods in bagging.
21578 0 359942	An Algorithm that Infers Theories from Facts.
29847 3 1047	function
11966 1 283158	Sourangshu Bhattacharya
8755 1 130431	Franz Puntigam
9151 1 149002	Juzhen He
17823 0 275250	Fuzzy Spatial Objects: An Algebra Implementation in SECONDO.
19005 0 277719	On Supporting Kleene Closure over Event Streams.
25805 0 554332	The INA: A Simple Query Language with Only Attribute Names.
23403 0 500609	Closed Sets for Labeled Data.
27349 0 595848	Storage and Retrieval of XML Data Using Relational Databases.
18012 0 275608	A Multi-Backend Database System for Performance Gains, Capacity Growth and Hardware Upgrade.
26091 0 554840	Data Mining Using Two-Dimensional Optimized Accociation Rules: Scheme, Algorithms, and Visualization.
75 1 1313	Steven W. Zucker
28882 3 12	learning
33346 3 5722	anatomy
36131 3 10607	dangers
3065 1 19543	Richard M. Tong
16158 0 85773	Evaluating window joins over punctuated streams.
21400 0 359497	Heuristic Search in Infinite State Spaces Guided by Lyapunov Analysis.
24923 0 551622	Do summaries help?
9887 1 171239	Shao Fen Liang
29252 3 414	symbolic
10062 1 173721	Liuba Shrira
20342 0 356726	Computational Complexity of Hypothesis Assembly.
23519 0 500885	An Experimental Study of Partition Quality Indices in Clustering.
1456 1 16125	Saadia Husain
37279 3 12456	decluster
15150 0 9917	A Deductive Pattern Matcher.
17535 0 162726	Efficient Similarity Search for Hierarchical Data in Large Databases.
28778 0 627093	Gsp-exr: gsp protocol with an exclusive right for keyword auctions.
12761 1 366487	Yizhak Idan
30537 3 1811	externalities
5351 1 46718	Lei Yu
32837 3 4777	generalizations
18665 0 276972	The AQUA Approach to Querying Lists and Trees in Object-Oriented Databases.
33272 3 5531	volume
28360 0 597606	LinkClus: Efficient Clustering via Heterogeneous Semantic Links.
20750 0 357761	The Use of Vision and Manipulation to Solve the "Instant Insanity" Puzzle.
35846 3 10056	orange
37739 3 13491	adherence
17906 0 275403	BEA Liquid Data for WebLogic: XML-Based Enterprise Information Integration.
16746 0 86832	Detecting distance-based outliers in streams of data.
22200 0 436091	Understanding captions in biomedical publications.
31720 3 3223	t
9300 1 152473	Zhen Hua Liu
25172 0 552046	Automatic generation of overview timelines.
24641 0 551169	Document Presentation and Query Formulation in Muse.
7013 1 90955	Monica Scannapieco
35077 3 8700	stereograms
31370 3 2796	broom
5607 1 50856	Jingdong Wang
19976 0 308978	Reinforcement Learning in Factories: The Auton Project (Abstract).
8651 1 125595	Vishu Krishnamurthy
1054 1 15396	Alexander B. Wood
8608 1 124340	Arun N. Swami
380 1 6985	Tova Milo
20594 0 357354	An Antibiotic Therapy Selector which Provides for Explanations.
25017 0 551768	Table extraction using conditional random fields.
19123 0 277893	Region Sampling: Continuous Adaptive Sampling on Sensor Networks.
6608 1 82235	Sangeeta Doraiswamy
10467 1 196465	Artur M. Arsenio
28947 3 80	strategic
36502 3 11169	ansductive
11429 1 261314	Ahmed A. Soror
36587 3 11302	indexfabric
578 1 10714	Yifan Li
2855 1 19031	M. David Sadek
32485 3 4271	kinds
6578 1 79449	Ophir Frieder
17664 0 162984	Approximate Graph Schema Extraction for Semi-Structured Data.
11350 1 261151	Bryan Reagan
760 1 12941	Ana Lelescu
31563 3 3032	connectionism
36047 3 10447	icebergs
36592 3 11308	alias
37130 3 12185	rdfi
15893 0 12007	Near-Optimal Search in Continuous Domains.
11251 1 260924	John Joseph
24109 0 536291	R-MAT: A Recursive Model for Graph Mining.
32770 3 4691	another
22679 0 437002	Selecting Features by Vertical Compactness of Data.
31104 3 2477	delivering
6431 1 77956	Vincent Oria
27228 0 595654	XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents.
35083 3 8719	vendor
23628 0 503780	Buffering in query evaluation over XML streams.
14531 0 7807	Mining Opinion Features in Customer Reviews.
8483 1 118572	Annie W. Shum
19333 0 278328	Using Discriminant Analysis for Multi-class Classification.
32023 3 3625	unable
34077 3 6903	write
23433 0 500667	Strength in Diversity: The Advance of Data Analysis.
3032 1 19436	Anton N. Dragunov
7276 1 103688	Ron Bekkerman
19934 0 308851	The Set Covering Machine with Data-Dependent Half-Spaces.
13563 1 421492	Chun-Keat Koh
20560 0 357280	An Improved Di-Directional Heuristic Search Algorithm.
29530 3 706	transformation
28531 0 625666	Keys for XML.
19192 0 278085	Inexact Field Learning: An Approach to Induce High Quality Rules from Low Quality Data.
35961 3 10285	lobs
22740 0 437094	Real world performance of association rule algorithms.
132 1 2415	Yunfa Hu
5244 1 43229	Peter Antal
15345 0 10563	A Quadratic Propagator for the Inter-Distance Constraint.
34320 3 7307	agony
13438 1 421313	Stephen Levin
29725 3 918	independently
12910 1 375570	Somnath Banerjee
14517 0 7746	Intelligent Systems Demonstration: The Secure Wireless Agent Testbed (SWAT).
27698 0 596414	Recovering from Main-Memory Lapses.
8947 1 138941	Hiroshi Kano
6158 1 70442	Robert Meersman
3963 1 26293	Donia Scott
10479 1 196911	Sowmya Ramachandran
10654 1 221316	Daniel Ramage
24664 0 551218	An Architecture for Probabilistic Concept-Based Information Retrieval.
1114 1 15472	Jody Gevins Underwood
37205 3 12323	combi
30772 3 2096	judgment
6188 1 71705	Efrat Manisterski
22398 0 436474	Comparing Massive High-Dimensional Data Sets.
36578 3 11282	choreographies
36250 3 10780	ria
3448 1 20337	William Thompson
11918 1 283036	Brett Squires
16575 0 86539	An agent-based approach to knowledge management.
11156 1 260689	Sunil Jigyasu
26591 0 555787	A Study of the Effects of Locking Granularity in a Data Base Management System (Abstract).
29933 3 1138	record
440 1 8679	Yong Liu
28524 0 625623	On optimal service selection.
2286 1 17764	Ion Muslea
13189 1 413391	Lucas Scharenbroich
12309 1 316651	Deanne Pecora
9786 1 167981	Andreas Auer
10261 1 176393	James F. Cunningham
16663 0 86671	Mining compressed commodity workflows from massive RFID data sets.
33078 3 5113	distortion
18033 0 275656	Deadlock Detection Algorithms in Distributed Database Systems.
13134 1 398765	Freddy Dumortier
10558 1 204297	Jong Park
17326 0 158992	Learning to Control Dynamic Systems with Automatic Quantization.
1999 1 17199	Klemens Schnattinger
6904 1 87063	Dinesh Manocha
11088 1 260555	Percy Bernedo
24253 0 536550	Fast Newton-type Methods for the Least Squares Nonnegative Matrix Approximation Problem.
29919 3 1124	kqml
4268 1 29284	Zdzislaw Pawlak
270 1 4802	Li Chen
37273 3 12441	survives
4515 1 33875	Moira C. Norrie
4583 1 34175	Shojiro Nishio
30931 3 2281	event
24126 0 536325	Clustering with Constraints: Feasibility Issues and the k-Means Algorithm.
35568 3 9540	acclimatizing
29502 3 677	tdt
31012 3 2365	recommendations
35338 3 9203	whodunit
15701 0 11628	A Spectrum of Symbolic On-line Diagnosis Approaches.
13575 1 421505	Nina Phan
20751 0 357763	Dual Lookups in Pattern Databases.
32419 3 4180	nonclausal
13309 1 421124	J. Dueck
12067 1 302598	Xiaoyan Yang
7755 1 113844	Shui-Lung Chuang
17995 0 275572	Modeling the Effects of Data and Resource Contention on the Performance of Optimistic Concurrency Control Protocols.
1914 1 16992	Donald F. Geddis
13096 1 398162	Bart Marseille
36557 3 11250	xsq
15330 0 10510	Automatically Acquiring Domain Knowledge For Adaptive Game AI Using Evolutionary Learning.
12993 1 391139	I-Ane Huang
6041 1 64540	Narendra Kumar Gupta
25969 0 554588	ACTA: A Framework for Specifying and Reasoning about Transaction Structure and Behavior.
14543 0 7852	Reasoning about Intended Actions.
16753 0 86859	Translating topics to words for image annotation.
26385 0 555389	DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract).
15515 0 11051	The ButterflyTM Lisp System.
20725 0 357727	Uncertainty, Belief, and Probability.
33585 3 6150	severe
26167 0 554993	Clio grows up: from research prototype to industrial tool.
36106 3 10560	cubing
23302 0 500400	Cluster Aggregate Inequality and Multi-level Hierarchical Clustering.
36184 3 10698	photos
11370 1 261193	Howard Ho
12273 1 316543	Regine Loisel
1073 1 15424	Ron Lavi
18547 0 276726	Compiled Query Execution Engine using JVM.
24800 0 551444	An Interactive Database End-User Facility for the Definition and Manipulation of Forms.
29283 3 448	identification
23484 0 500794	Diagnosing Acute Appendicitis with Very Simple Classification Rules.
18865 0 277409	RFID Data Processing with a Data Stream Query Language.
4554 1 34034	J?rgen L?land
15332 0 10516	Simple Search Methods for Finding a Nash Equilibrium.
13870 1 422501	Kenneth C. Wilner
32628 3 4469	split
29867 3 1070	independent
18228 0 276049	Partial Selection Query in Peer-to-Peer Databases.
10014 1 173386	M. T. Hallissey
25164 0 552025	The effect of OCR errors on stylistic text classification.
22942 0 486595	Constructive Meta-level Feature Selection Method Based on Method Repositories.
11224 1 260859	Amarjeet Singh
27492 0 596085	Ode as an Active Database: Constraints and Triggers.
24143 0 536348	Cluster Selection in Divisive Clustering Algorithms.
9233 1 151561	W. Kraus
7171 1 98878	Alexandros Kalousis
17404 0 159283	Roulette Sampling for Cost-Sensitive Learning.
31999 3 3596	talking
2356 1 17911	Max Metral
17931 0 275444	Paradigm Shift to New DBMS Architectures: Research Issues and Market Needs.
33638 3 6245	spline
19578 0 278737	Window-based Tensor Analysis on High-dimensional and Multi-aspect Streams.
22694 0 437023	Knowledge-based data mining.
29263 3 426	calo
11247 1 260916	Spiros Papadimitriou
16170 0 85799	Inductive Learning Algorithms and Representations for Text Categorization.
18515 0 276660	Towards the Reverse Engineering of Denormalized Relational Databases.
26135 0 554935	A Preliminary System for the Design of DBTG Data Structures (Abstract).
17375 0 159190	Skill Acquisition Via Transfer Learning and Advice Taking.
6394 1 77806	St��phane Grumbach
5582 1 50729	Tetsuhiro Miyahara
4989 1 38140	Joann Ruvolo
8338 1 114793	Nikesh Garera
17681 0 163018	Spatial Queries in the Presence of Obstacles.
21169 0 358904	An Epistemic Logic for Arbitration (Extended Abstract).
29429 3 601	proxy
28929 3 62	solving
31490 3 2934	metaphors
4689 1 34640	Dennis McLeod
25433 0 552427	A study of Poisson query generation model for information retrieval.
14457 1 453668	Chungsu Jang
26720 0 556034	The Miro DBMS.
32855 3 4802	tightly
30218 3 1445	contours
7603 1 113614	David A. Grossman
34406 3 7447	transient
33659 3 6278	fold
3283 1 20030	Michael Zakharyaschev
24907 0 551601	A maximum coherence model for dictionary-based cross-language information retrieval.
23716 0 503943	Histograms revisited: when are histograms the best approximation method for aggregates over joins?
17956 0 275481	Parallel Computing with Distributed Shared Data.
12306 1 316645	David M. Neves
14413 1 453260	Pavel A. Dmitriev
8078 1 114373	Amit J. Shah
16345 0 86119	Information Integration with Attributio Support for Corporate Profiles.
15380 0 10657	Heuristic Harvesting of Information for Case-Based Argument.
6434 1 77990	Am��lie Marian
6688 1 84093	Wolfgang Mahnke
35849 3 10060	patternsin
30276 3 1507	together
31457 3 2897	executions
5390 1 48573	Yevgeniy Vorobeychik
31049 3 2410	deadliner
30753 3 2068	help
32101 3 3735	tight
34455 3 7518	cutting
8603 1 124333	Nimrod Megiddo
9432 1 155372	Fragkiskos Pentaris
25793 0 554301	A Formal View Integration Method.
13556 1 421481	P. C. N. Wong
31903 3 3474	lower
8394 1 116755	Mathew J. Palakal
19190 0 278079	On Feature Selection through Clustering.
32245 3 3939	implies
10074 1 174744	Pierre Hansen
7968 1 114196	Jan D. Gehrke
29755 3 951	parametric
6193 1 71855	Donovan Artz
23585 0 501114	A Method for Multi-relational Classification Using Single and Multi-feature Aggregation Functions.
30507 3 1781	atms
26563 0 555742	HYDRO: A Heterogeneous Distributed Database System.
37781 3 13557	asalsan
21591 0 359986	Belief as Defeasible Knowledge.
15361 0 10613	Problem Solving in Frame-Structured Systems Using Interactive Dialog.
23088 0 486929	Semantic Expectation-Based Causation Knowledge Extraction: A Study on Hong Kong Stock Movement Analysis.
10016 1 173403	Stefan Schaal
19380 0 278397	Privacy-Preserving Collaborative Filtering Using Randomized Perturbation Techniques.
4920 1 36926	Anthony J. Bagnall
35552 3 9516	membrane
13646 1 421598	Xiaobing Xue
2526 1 18273	Jonathan Connell
26465 0 555550	Tutorial: application servers and associated technologies.
35342 3 9213	galactic
22753 0 437113	IDR/QR: an incremental dimension reduction algorithm via QR decomposition.
28490 0 597801	DAMIA - A Data Mashup Fabric for Intranet Applications.
36644 3 11382	rolex
404 1 7671	Yu Gu
7316 1 105997	Steven A. Wolfman
6513 1 78327	Bernd Walter
24871 0 551548	ATTICS: A Software Platform for Online Text Classification (poster abstract).
21404 0 359508	Counting Solutions of CSPs: A Structural Approach.
2680 1 18661	Naoki Ohta
15816 0 11856	Temporal Difference and Policy Search Methods for Reinforcement Learning: An Empirical Comparison.
28228 0 597376	Observations on Data Manipulation Languages and Their Embedding in General Purpose Programming Languages.
26319 0 555273	Constrained Optimalities in Query Personalization.
9293 1 152379	Jonathan Beaver
22545 0 436757	Na?ve filterbots for robust cold-start recommendations.
15741 0 11693	Online Co-Localization in Indoor Wireless Networks by Dimension Reduction.
17685 0 163028	The TS-tree: efficient time series search and retrieval.
12236 1 316361	Chuck Hansen
9048 1 139994	Liang Xiong
24562 0 551041	Constructing informative prior distributions from domain knowledge in text classification.
12922 1 379488	Stephanie Strassel
11866 1 282852	David Haines
31062 3 2423	synchronization
36521 3 11193	congressional
11099 1 260567	Ulrich Telle
3565 1 20536	Ralf Krestel
7971 1 114199	Lei Chen 0002
11186 1 260758	Pavan K. Chowdary
27609 0 596261	Getting Priorities Straight: Improving Linux Support for Database I/O.
9472 1 156449	J. W. Guan
29977 3 1185	reactive
8552 1 123635	Gerhard Th. Niedermair
2236 1 17648	Yongshao Ruan
7258 1 102910	Bo Luo
17420 0 159330	Imitation Learning Using Graphical Models.
11652 1 261774	Michael M. Yin
9911 1 171311	Joan Claudi Socor��
36783 3 11606	mirrored
30363 3 1605	inferences
25256 0 552168	Query-Based Web Page Summarisation: A Task-Oriented Evaluation.
17103 0 156912	Terrier Information Retrieval Platform.
2968 1 19280	John Hale
29691 3 882	estimating
37079 3 12100	moby
20410 0 356879	PHI - A Logic-Based Tool for Intelligent Help Systems.
36771 3 11590	cubeexplorer
18205 0 275991	Efficient Similarity Search in Large Databases of Tree Structured Objects.
8748 1 130344	Goce Trajcevski
35246 3 9039	recommend
24729 0 551315	Query Expansion Method Based on Word Contribution (poster abstract).
3823 1 22869	Marko Bohanec
34836 3 8196	executive
8799 1 132046	J. Yi
10599 1 211149	Eliyahu Safra
3632 1 20669	Mart��n O. Moguillansky
19972 0 308965	Generalized Average-Case Analyses of the Nearest Neighbor Algorithm.
1141 1 15514	Naren Ramakrishnan
26374 0 555375	MLR: A Recovery Method for Multi-level Systems.
2538 1 18293	Kevin McCarthy
19645 0 279002	Exploration of Link Structure and Community-Based Node Roles in Network Analysis.
